latitude,longitude,port,mmsi
54.850652,10.52384,0,219017382
54.851228,10.523882,0,219022362
54.851242,10.523303,0,219031752
54.851275,10.524028,0,219531000
54.856533,10.521735,0,219026197
54.875967,11.02855,1,219016938
54.875983,11.028567,1,219016555
54.88779,10.937287,2,245809000
54.890395,10.933047,2,245808000
54.891265,10.412657,3,219000836
54.891548,10.412892,3,219000674
54.89235,12.043905,4,219007572
54.895028,12.036633,4,219019801
54.899675,12.043003,4,231336000
54.906605,9.599585,5,219025739
54.909338,9.601195,5,219031479
54.909085,9.781743,6,219003217
54.909177,9.78166,6,219004903
54.909902,9.782167,6,219000178
54.915555,11.357843,7,219016682
54.916018,11.360095,7,219000809
54.91605,11.359983,7,219000811
54.916315,11.360517,7,219002177
54.924835,10.839028,8,219016781
54.933005,10.832495,8,219031879
54.933027,10.832478,9,219031879
54.933032,10.833512,9,219016781
54.933603,10.834105,9,219002962
54.933663,10.83417,9,219007932
54.933808,10.833737,9,219023834
54.93392,10.833678,9,219001061
54.933933,10.834493,9,219008145
54.934883,10.8338,9,219016938
54.9349,10.83385,9,219016555
54.937535,10.732197,10,219025188
54.939563,10.735308,10,219032621
54.937565,10.702867,11,219017917
54.937805,10.703327,11,219026197
54.93917,10.70832,11,219004668
54.940677,10.71114,11,219028635
54.941737,10.713592,11,219028144
54.941485,10.259137,12,219023531
54.94164,10.259532,12,219000733
54.941825,10.258255,12,219007101
54.942082,10.256105,12,211225920
54.942158,10.257947,12,538071245
54.9425,10.2582,12,211222290
54.942967,10.256342,12,210336000
54.943503,10.255278,12,244181000
54.942517,9.873105,13,244810475
54.943963,9.873015,13,219032365
54.952257,12.466723,14,218043440
54.952425,12.46648,14,211810060
54.952932,12.467212,14,219017204
54.953142,12.467113,14,219016747
54.954457,12.468478,14,219029707
54.955193,13.44895,15,244519000
54.956515,13.444122,15,230617000
54.972498,11.864968,16,246389000
54.972553,11.863958,16,235106475
54.972577,11.864468,16,245371000
54.98225,11.873348,17,246389000
54.983903,11.874627,17,235106475
54.982868,12.281902,18,219003541
54.983083,12.281577,18,219002874
54.984185,12.280388,18,219027205
54.992285,9.98534,19,219005511
54.994257,9.98518,19,219000606
54.994327,9.98594,19,219023531
54.993942,11.87323,20,246389000
54.994632,11.873875,20,235106475
54.995145,11.87381,20,245371000
54.995765,11.875662,20,231336000
54.996155,11.876325,20,219777000
54.996633,11.887095,20,219014267
54.996743,11.886968,20,219000183
54.997482,11.884963,20,210290000
54.994633,12.167728,21,219027620
54.995128,12.165942,21,219003446
54.994745,11.899293,22,219024284
54.996633,11.887095,22,219014267
54.996743,11.886968,22,219000183
54.996853,11.886713,22,246389000
54.997482,11.884963,22,210290000
55.002133,13.231567,23,992111926
55.008567,13.228567,23,992111925
55.002433,7.755667,24,219613000
55.00608,7.767178,24,219032609
55.003585,11.916712,25,219025072
55.003898,11.91666,25,219021294
55.015108,8.439732,26,209392000
55.01637,8.440435,26,211235200
55.016402,8.439452,26,211609560
55.016717,8.440717,26,246135000
55.01687,8.440498,26,245914000
55.019973,7.800073,27,219032609
55.020283,7.800033,27,219613000
55.032807,7.800317,28,219032609
55.040117,7.801033,28,219613000
55.035263,9.42247,29,219032016
55.040195,9.42742,29,636018261
55.042315,9.423242,29,219000647
55.038885,12.193852,30,219029878
55.039463,12.19394,30,219032946
55.055617,10.61498,31,219003342
55.057333,10.615333,31,219000836
55.057445,10.615385,31,219000674
55.05757,10.614857,31,219006026
55.058037,10.618782,31,219007366
55.058318,10.621243,31,244995000
55.05839,10.619898,31,219002493
55.058445,10.616258,31,219001284
55.058498,10.620645,31,219020391
55.058588,10.619337,31,219004896
55.058672,10.618983,31,219016144
55.058973,10.615102,31,219000742
55.059562,10.619677,31,220466000
55.059622,10.620047,31,219750000
55.05964,10.617157,31,219002856
55.059913,10.61948,31,219011021
55.059948,10.6167,31,219003038
55.060028,10.615932,31,219002312
55.060152,10.621212,31,220345000
55.060155,10.616518,31,235003431
55.06022,10.616153,31,219000851
55.06041,10.618273,31,211302570
55.060617,10.617592,31,219000657
55.060733,10.618,31,219000892
55.061013,10.619043,31,219021596
55.0612,10.618253,31,219000191
55.06131,10.61467,31,219013969
55.062383,10.617083,31,219016306
55.057883,15.137633,32,219011032
55.059443,15.136765,32,261003244
55.062022,15.135468,32,220073000
55.062158,15.135552,32,219002761
55.062547,15.13471,32,219014244
55.063552,15.13568,32,220431000
55.063813,15.1351,32,261099060
55.067597,10.25176,33,219004145
55.076035,10.254448,33,219032635
55.085613,8.567898,34,219032609
55.085883,8.566985,34,219000617
55.08626,8.57082,34,209392000
55.086902,8.565608,34,245914000
55.08705,8.566367,34,246135000
55.087142,8.570833,34,209702000
55.088383,8.565717,34,219004043
55.08808,14.694392,35,244016000
55.092918,14.685452,35,219033720
55.093037,14.685212,35,219022260
55.093673,14.689507,35,219032956
55.094337,14.695545,35,219019015
55.094367,14.696017,35,219018488
55.095468,14.696368,35,219007671
55.095853,14.695022,35,219173000
55.092207,10.24082,36,219000733
55.092932,10.241468,36,219016906
55.093207,10.239712,36,219029904
55.093322,10.235688,36,219024281
55.094133,10.239138,36,219000188
55.094295,10.2396,36,219004145
55.094863,10.239867,36,219022614
55.09525,10.234103,36,219032635
55.095342,10.23646,36,219034214
55.095498,10.234432,36,218061300
55.097898,10.233843,36,219033042
55.09503,14.684378,37,219022260
55.095283,14.691082,37,219032956
55.095468,14.696368,37,219007671
55.095702,14.693705,37,219033720
55.095857,14.694985,37,219173000
55.096322,14.684998,37,219032845
55.09745,14.687478,37,210561000
55.098052,14.696235,37,219006514
55.098175,14.695803,37,219033941
55.098347,14.689618,37,219026000
55.098378,14.696082,37,219028158
55.098463,14.69655,37,219007641
55.098567,14.693723,37,219017081
55.099298,14.693052,37,219001468
55.099313,14.691522,37,219028133
55.099678,14.693122,37,219001058
