latitude,longitude,port,mmsi
55.676207,11.100735,0,375052000
55.676217,11.089662,0,219000577
55.676213,12.588362,1,219007898
55.67736,12.580787,1,219017717
55.677377,12.580722,1,219005252
55.67742,12.580777,1,219012277
55.678022,12.59287,1,219002857
55.679045,12.59447,1,219026305
55.679072,12.594457,1,219026304
55.679123,12.594485,1,219026301
55.679485,12.585232,1,970258597
55.680172,12.589032,1,219022282
55.681483,12.596102,1,211211230
55.676213,11.017968,2,244678000
55.677148,11.026373,2,219023833
55.676955,12.638242,3,244870327
55.677117,12.647283,3,245455000
55.677453,12.634987,3,265724260
55.678692,12.635335,3,219026071
55.678933,12.635173,3,219004907
55.679105,12.643403,3,244641000
55.685117,12.63876,3,636018750
55.678968,12.608723,4,219018722
55.678968,12.593468,4,219002857
55.679053,12.59444,4,219026305
55.679122,12.594405,4,219026304
55.681483,12.596102,4,211211230
55.681655,12.598998,4,219026301
55.682178,12.603065,4,219024777
55.682693,12.597508,4,219005252
55.682752,12.597393,4,219017717
55.684675,12.608873,4,219031279
55.687198,12.613748,4,265788680
55.687482,12.605443,4,219000177
55.685885,12.630948,5,244642000
55.686025,12.63376,5,219027899
55.686485,12.632855,5,255806471
55.686608,12.623425,5,219030047
55.687032,12.63611,5,231846000
55.687093,12.634813,5,563070700
55.687482,12.624885,5,219007937
55.68788,12.623715,5,219001362
55.687982,12.622652,5,219002801
55.68799,12.62278,5,219002798
55.68805,12.624732,5,219001619
55.688328,12.623173,5,219025528
55.688368,12.619165,5,244750462
55.688388,12.620085,5,219031690
55.688463,12.623983,5,219019441
55.688472,12.61812,5,219014538
55.68854,12.616122,5,219027790
55.688615,12.618812,5,219015013
55.688708,12.61803,5,219028507
55.688837,12.618183,5,219027868
55.688908,12.618833,5,219003461
55.68896,12.618842,5,219023018
55.689027,12.617975,5,219020900
55.689273,12.620025,5,219019907
55.689573,12.623163,5,219018684
55.689997,12.624095,5,230129310
55.686768,12.59958,6,231846000
55.687198,12.613748,6,265788680
55.687482,12.605443,6,219000177
55.687542,12.615112,6,219002846
55.68805,12.599692,6,219026305
55.688058,12.59965,6,219026301
55.688083,12.599718,6,219026304
55.688802,12.614678,6,219022736
55.68898,12.599045,6,219031896
55.689147,12.613852,6,219017202
55.689167,12.59917,6,219005574
55.693817,12.599865,6,265798780
55.69466,12.607402,7,219014727
55.694935,12.612095,7,219001375
55.695057,12.612125,7,219006387
55.69507,12.613368,7,219014266
55.695148,12.6124,7,219007035
55.695215,12.612772,7,219006078
55.695265,12.611913,7,219006221
55.695325,12.61238,7,219004695
55.695402,12.61144,7,219006008
55.695433,12.61169,7,219017717
55.695438,12.611478,7,219006006
55.695498,12.6109,7,219012277
55.695552,12.611093,7,219005252
55.695728,12.612768,7,219005574
55.695857,12.612398,7,219007693
55.6959,12.610733,7,219000632
55.696017,12.607838,7,219026305
55.696502,12.60799,7,219026304
55.69672,12.607978,7,219026301
55.696967,12.608088,7,219026300
55.69725,12.613717,7,2190047
55.698748,12.618743,7,219002801
55.698783,12.618973,7,219002798
55.698843,12.6187,7,219020533
55.697772,12.629862,8,219019441
55.697772,12.627423,8,219020533
55.697777,12.627005,8,210350000
55.697813,12.630115,8,219025528
55.697845,12.627495,8,219002801
55.69797,12.629725,8,219002798
55.697973,12.635308,8,244645000
55.69807,12.63579,8,230942970
55.698703,12.637647,8,244641000
55.701743,12.642652,8,219003121
55.699032,12.593047,9,219014727
55.702225,12.597527,9,219592000
55.701667,9.55,10,219026346
55.703135,9.562755,10,219014818
55.704062,9.558385,10,244613000
55.705953,9.559348,10,219024678
55.706427,9.543867,10,220068000
55.706467,9.54337,10,219018526
