port,latitude,longitude,mmsis_in_port,port_cluster
38_10,57.70301826608132,11.66270987796787,265038960,86
38_10,57.70301826608132,11.66270987796787,265527030,86
35_4,55.67224055239197,12.638256374962715,219007937,19
35_4,55.67224055239197,12.638256374962715,219001619,19
35_4,55.67224055239197,12.638256374962715,219032232,19
35_4,55.67224055239197,12.638256374962715,219027899,19
22_5,55.72638025309237,12.58658187639896,219022526,19
22_5,55.72638025309237,12.58658187639896,219029348,19
22_5,55.72638025309237,12.58658187639896,211349640,19
22_5,55.72638025309237,12.58658187639896,219031529,19
22_5,55.72638025309237,12.58658187639896,244153423,19
22_5,55.72638025309237,12.58658187639896,219029444,19
22_5,55.72638025309237,12.58658187639896,232050936,19
22_5,55.72638025309237,12.58658187639896,219032359,19
4_6,56.003245020196545,8.124601430735845,219313000,110
4_6,56.003245020196545,8.124601430735845,219034015,110
4_6,56.003245020196545,8.124601430735845,219460000,110
4_6,56.003245020196545,8.124601430735845,219011224,110
4_6,56.003245020196545,8.124601430735845,235074473,110
4_6,56.003245020196545,8.124601430735845,219014519,110
4_6,56.003245020196545,8.124601430735845,219034014,110
4_6,56.003245020196545,8.124601430735845,219017784,110
4_6,56.003245020196545,8.124601430735845,219027988,110
4_6,56.003245020196545,8.124601430735845,219034345,110
4_6,56.003245020196545,8.124601430735845,219862000,110
4_6,56.003245020196545,8.124601430735845,261003012,110
4_6,56.003245020196545,8.124601430735845,261004881,110
4_6,56.003245020196545,8.124601430735845,220623000,110
4_6,56.003245020196545,8.124601430735845,219922000,110
4_6,56.003245020196545,8.124601430735845,219021428,110
4_6,56.003245020196545,8.124601430735845,220283000,110
4_6,56.003245020196545,8.124601430735845,220383000,110
4_6,56.003245020196545,8.124601430735845,219031087,110
4_6,56.003245020196545,8.124601430735845,219001181,110
4_6,56.003245020196545,8.124601430735845,219001275,110
4_6,56.003245020196545,8.124601430735845,219018636,110
4_6,56.003245020196545,8.124601430735845,219034290,110
4_6,56.003245020196545,8.124601430735845,219024698,110
4_6,56.003245020196545,8.124601430735845,219002838,110
10_10,57.64515671475675,11.858529282531457,265547210,35
10_10,57.64515671475675,11.858529282531457,265797830,35
10_10,57.64515671475675,11.858529282531457,219168000,35
10_10,57.64515671475675,11.858529282531457,265026000,35
10_10,57.64515671475675,11.858529282531457,219032961,35
10_10,57.64515671475675,11.858529282531457,219014435,35
10_10,57.64515671475675,11.858529282531457,265778450,35
1_9,57.33291284451848,10.531728372183402,219032670,126
1_9,57.33291284451848,10.531728372183402,219029704,126
1_9,57.33291284451848,10.531728372183402,219000942,126
1_9,57.33291284451848,10.531728372183402,219028256,126
1_9,57.33291284451848,10.531728372183402,257048860,126
1_9,57.33291284451848,10.531728372183402,219004365,126
31_4,55.65787554953574,12.56282304900523,219026304,19
31_4,55.65787554953574,12.56282304900523,219026305,19
31_4,55.65787554953574,12.56282304900523,219014686,19
31_4,55.65787554953574,12.56282304900523,219026301,19
19_3,55.33146470378999,11.13172788113857,219029349,36
19_3,55.33146470378999,11.13172788113857,244740800,36
19_3,55.33146470378999,11.13172788113857,219015359,36
19_3,55.33146470378999,11.13172788113857,220432000,36
19_3,55.33146470378999,11.13172788113857,219002067,36
19_3,55.33146470378999,11.13172788113857,219000125,36
19_3,55.33146470378999,11.13172788113857,220435000,36
19_3,55.33146470378999,11.13172788113857,220434000,36
19_3,55.33146470378999,11.13172788113857,219262000,36
19_3,55.33146470378999,11.13172788113857,219000417,36
19_3,55.33146470378999,11.13172788113857,220428000,36
19_3,55.33146470378999,11.13172788113857,219011074,36
19_3,55.33146470378999,11.13172788113857,219000472,36
19_3,55.33146470378999,11.13172788113857,219012789,36
19_3,55.33146470378999,11.13172788113857,219000126,36
19_3,55.33146470378999,11.13172788113857,219012788,36
19_3,55.33146470378999,11.13172788113857,219000474,36
19_3,55.33146470378999,11.13172788113857,219103000,36
19_3,55.33146470378999,11.13172788113857,219105000,36
19_3,55.33146470378999,11.13172788113857,219022265,36
19_3,55.33146470378999,11.13172788113857,219000622,36
19_3,55.33146470378999,11.13172788113857,219024676,36
19_3,55.33146470378999,11.13172788113857,305190000,36
19_3,55.33146470378999,11.13172788113857,219002719,36
19_3,55.33146470378999,11.13172788113857,219015425,36
64_0,54.81646100107011,11.017456755114253,219013192,46
64_0,54.81646100107011,11.017456755114253,220000057,46
64_0,54.81646100107011,11.017456755114253,219007746,46
64_0,54.81646100107011,11.017456755114253,219007155,46
6_6,56.035466187255764,12.616129239940589,219622000,31
6_6,56.035466187255764,12.616129239940589,265041000,31
6_6,56.035466187255764,12.616129239940589,219230000,31
6_6,56.035466187255764,12.616129239940589,219000368,31
6_6,56.035466187255764,12.616129239940589,219014974,31
6_6,56.035466187255764,12.616129239940589,219024336,31
6_6,56.035466187255764,12.616129239940589,219002955,31
6_6,56.035466187255764,12.616129239940589,219002956,31
6_6,56.035466187255764,12.616129239940589,219006478,31
6_6,56.035466187255764,12.616129239940589,219012275,31
6_6,56.035466187255764,12.616129239940589,219031891,31
40_3,55.47151720050051,8.42388340001501,219029698,4
40_3,55.47151720050051,8.42388340001501,219000771,4
40_3,55.47151720050051,8.42388340001501,219001959,4
40_3,55.47151720050051,8.42388340001501,2190045,4
40_3,55.47151720050051,8.42388340001501,219024783,4
13_8,57.057889092181114,9.896819481777847,219025737,85
13_8,57.057889092181114,9.896819481777847,219022828,85
13_8,57.057889092181114,9.896819481777847,219023054,85
13_8,57.057889092181114,9.896819481777847,219016983,85
13_8,57.057889092181114,9.896819481777847,219032996,85
13_8,57.057889092181114,9.896819481777847,219024990,85
13_8,57.057889092181114,9.896819481777847,219022124,85
13_8,57.057889092181114,9.896819481777847,912191373,85
13_8,57.057889092181114,9.896819481777847,219010764,85
13_8,57.057889092181114,9.896819481777847,219010706,85
13_8,57.057889092181114,9.896819481777847,219026536,85
13_8,57.057889092181114,9.896819481777847,219013609,85
13_8,57.057889092181114,9.896819481777847,219029714,85
