latitude,longitude,port,mmsi
57.594082,9.962377,0,219013178
57.594112,9.958675,0,219023274
57.594208,9.958187,0,219009135
57.594277,9.95914,0,219002774
57.5943,9.95935,0,219019010
57.594405,9.962405,0,220088000
57.594513,9.960302,0,219015362
57.699165,11.667355,1,265522210
57.699295,11.667212,1,265522220
57.699467,11.666992,1,265522240
57.706552,11.660023,1,265581970
57.707388,11.660552,1,265579090
57.713878,10.59,2,265002000
57.715135,10.58347,2,219005583
57.715185,10.58753,2,219013933
57.715192,10.584083,2,257052890
57.715288,10.582723,2,219005867
57.715332,10.584397,2,219024000
57.715427,10.582285,2,244710047
57.715498,10.58197,2,257101030
57.715652,10.587207,2,219033125
57.715917,10.58591,2,219007027
57.715983,10.581383,2,257571000
57.716162,10.58643,2,219007034
57.716468,10.585228,2,232043529
57.716563,10.586998,2,219010873
57.7173,10.585328,2,219031289
57.717473,10.587317,2,219002827
57.71762,10.587003,2,220333000
57.717623,10.586173,2,219006301
57.717627,10.590057,2,219015442
57.717875,10.588098,2,219011018
57.717877,10.58629,2,219005732
57.718185,10.587435,2,219013885
57.71821,10.586918,2,220343000
57.718262,10.592835,2,219001849
57.71837,10.599362,2,265019000
57.718493,10.58949,2,219022257
57.718883,10.58893,2,219026706
57.719102,10.588272,2,257102400
57.719127,10.590042,2,219022000
57.719155,10.588593,2,258572000
57.719303,10.600985,2,232009818
57.719402,10.592358,2,219019067
57.71987,10.593895,2,219017733
57.720023,10.594468,2,219032932
57.72004,10.591787,2,219013964
57.720177,10.594907,2,219031797
57.71934,10.604463,3,219022326
57.719402,10.592358,3,219019067
57.71987,10.593895,3,219017733
57.720023,10.594468,3,219032932
57.72004,10.591792,3,219013964
57.720177,10.594905,3,219031797
57.720747,10.603052,3,316100000
57.939933,11.578483,4,266145000
57.940163,11.578717,4,266461000
58.399653,12.320668,5,992651014
58.402307,12.325447,5,992651012
