latitude,longitude,port,mmsi
57.5933,9.962343,0,220051000
57.5933,9.956357,0,219007577
57.593302,9.963962,0,219012521
57.593302,9.971327,0,259490000
57.593305,9.960985,0,219021176
57.593313,9.956578,0,219007596
57.593317,9.956033,0,219006443
57.593333,9.9638,0,220135000
57.593363,9.963753,0,219796000
57.593395,9.963525,0,219003959
57.593397,9.963658,0,219013485
57.593438,9.96081,0,219009907
57.593438,9.959437,0,219787000
57.593452,9.956755,0,219002051
57.593453,9.96288,0,219012671
57.593467,9.961208,0,219005956
57.593475,9.963567,0,219006383
57.593487,9.956715,0,219002023
57.593493,9.960612,0,219006115
57.593495,9.963588,0,219007313
57.5935,9.9595,0,220339000
57.593512,9.963415,0,219026172
57.593547,9.963343,0,219429000
57.593622,9.957095,0,219014192
57.593657,9.977738,0,258129000
57.593685,9.957222,0,219004596
57.593702,9.95754,0,219000895
57.593728,9.96308,0,219011325
57.593782,9.960543,0,257541000
57.59382,9.959288,0,219002774
57.593868,9.9612,0,219106000
57.593887,9.961108,0,220359000
57.5939,9.962717,0,219014374
57.593938,9.962327,0,219013178
57.594017,9.962002,0,220088000
57.594033,9.957877,0,219009799
57.594067,9.95871,0,219023274
57.594088,9.96238,0,220043000
57.594132,9.958243,0,291001876
57.59417,9.959418,0,219019010
57.594173,9.958208,0,219009135
57.594373,9.95984,0,259028800
57.594443,9.958117,0,219031645
57.594485,9.960277,0,219015362
57.594773,9.97867,0,219236000
57.594822,9.959238,0,219033460
57.595615,9.973068,0,231002000
57.593302,9.981992,1,257819000
57.593302,9.971327,1,259490000
57.593657,9.977738,1,258129000
57.59415,9.98008,1,331100197
57.594773,9.97867,1,219236000
57.595615,9.973068,1,231002000
57.593312,11.686417,2,230042000
57.59356,11.687057,2,265056000
57.599912,11.69486,2,244340000
57.596303,11.787652,3,219340000
57.596708,11.788088,3,219330000
57.598473,11.793673,3,266458000
57.598585,11.792767,3,265607090
57.599347,11.793805,3,265509950
57.59967,11.793753,3,265547210
57.599985,11.793668,3,265650970
57.597868,10.676813,4,311000974
57.600505,10.663452,4,219031797
57.600765,10.625718,5,219010873
57.600873,10.626463,5,351649000
57.60105,10.6262,5,219355000
57.609787,10.558675,6,636023660
57.609917,10.5585,6,219355000
57.617163,11.762332,7,265547210
57.621562,11.769582,7,265547230
57.625967,10.654683,8,636023192
57.634837,10.657243,8,229879000
57.636023,10.652115,9,229879000
57.64247,10.642865,9,219309000
57.643778,11.85819,10,265547210
57.644335,11.85811,10,265797830
57.644798,11.858953,10,219168000
57.645013,11.858472,10,265026000
57.645873,11.858925,10,219032961
57.645932,11.858848,10,219014435
57.646368,11.858207,10,265778450
57.651245,10.626563,11,636021331
57.651473,10.62612,11,265002000
57.660182,10.625937,11,538006140
57.65512,10.659147,12,246745000
57.655655,10.661115,12,266212000
57.656037,10.656915,12,219032932
57.661557,11.842155,13,265650970
57.661565,11.84214,13,265509950
57.662507,10.67616,14,636020612
57.662785,10.675042,14,219022300
57.662685,10.646198,15,210051000
57.663618,10.645568,15,229281000
57.670697,10.650362,15,538007387
57.670833,10.650168,15,265012140
57.665238,8.90802,16,219028021
57.674,8.908567,16,636020984
57.669303,11.798498,17,210553000
57.672933,11.783633,17,244790715
57.673747,11.788118,17,265550210
57.673767,11.788467,17,244178000
57.671683,10.623293,18,266212000
57.678473,10.63144,18,538011362
57.67286,11.782862,19,265550210
57.67295,11.782883,19,244790715
57.673767,11.788467,19,244178000
57.673495,10.705572,20,257960000
57.674977,10.699637,20,219032932
57.676483,10.646725,21,265012140
57.678473,10.63144,21,538011362
57.680937,10.660842,21,259101000
57.680598,11.79235,22,265606380
57.6819,11.787957,22,257998000
57.682855,11.788015,22,231809000
57.681592,10.665468,23,311087000
57.681818,10.66822,23,219022300
57.681707,11.697098,24,265550210
57.681732,11.688658,24,219076000
57.681783,11.69638,24,219030593
57.68205,11.648533,25,266128000
57.682623,11.649325,25,266064000
57.682845,11.649945,25,266322000
57.682068,11.871803,26,265514840
57.68211,11.871867,26,265511420
57.682857,11.87208,26,266336000
57.685373,11.88658,26,231848000
57.687737,11.860987,26,231859000
57.688147,11.860807,26,265797830
57.688253,11.860085,26,636023946
57.688275,11.860568,26,255806464
57.688302,11.861287,26,265036400
57.688312,11.864148,26,255805899
57.686928,11.895783,27,265708710
57.687133,11.895012,27,231809000
57.6874,11.894403,27,231807000
57.690935,11.891925,27,265606380
57.691715,11.900023,27,266212000
57.69178,11.882607,27,265550210
57.687987,10.709372,28,219022300
57.68826,10.710513,28,241800000
57.688393,10.718055,28,538010264
57.688465,10.709825,28,220614000
57.688452,11.85991,29,636023946
57.688455,11.864083,29,255805899
57.688455,11.860475,29,255806464
57.691183,11.84585,29,265512660
57.6913,11.875083,29,266476000
57.691412,11.874455,29,266203000
57.691928,11.845945,29,265812560
57.688597,10.648248,30,258349500
57.68891,10.649367,30,356423000
57.689003,10.648902,30,220614000
57.689282,10.648605,30,219022300
57.692765,10.63728,30,265012140
57.692983,10.637603,30,246265000
57.689092,10.587065,31,220614000
57.6938,10.593862,31,210056000
57.689752,11.842253,32,248744000
57.690085,11.837538,32,219435000
57.690323,11.831805,32,219281000
57.69033,11.832135,32,220253000
57.691183,11.84585,32,265512660
57.691935,11.846067,32,265812560
57.690983,11.87688,33,266203000
57.690985,11.891937,33,265606380
57.691317,11.875167,33,266476000
57.691793,11.882595,33,265550210
57.692215,11.823192,34,220464000
57.693572,11.81708,34,265812560
57.69375,11.816367,34,265512660
57.692302,10.693037,35,311001594
57.694378,10.685238,35,257617000
57.694513,10.687445,35,219017733
57.695605,11.91411,36,266343000
57.699108,11.925072,36,266322000
57.70012,11.917948,36,266155000
57.69653,10.673302,37,220624000
57.69689,10.672905,37,265012140
57.698603,11.66767,38,265522240
57.698617,11.667583,38,265522230
57.698627,11.66763,38,265522220
57.698802,11.66754,38,265522210
57.703822,11.658073,38,265600320
57.705815,11.658085,38,265611700
57.706068,11.659212,38,265675250
57.706455,11.659922,38,265581970
57.706553,11.660095,38,265038960
57.70682,11.661285,38,265527030
57.701,10.6565,39,257562000
57.701105,10.656813,39,219031797
57.701213,11.936783,40,265410000
57.703048,11.948832,40,219003122
57.705603,11.693282,41,265522230
57.708088,11.702552,41,265522240
57.708093,11.702487,41,265522220
57.708322,11.702227,41,265522210
57.708777,11.702048,41,265573140
57.711587,11.684535,41,265513810
57.706568,11.659853,42,265581970
57.706587,11.66027,42,265038960
57.706683,11.659747,42,232005600
57.706825,11.661282,42,265527030
57.706955,11.660517,42,265663280
57.707257,11.660517,42,265579090
57.71286,10.584527,43,277029000
57.713443,10.592815,43,265034000
57.713473,10.592933,43,219032932
57.713638,10.581642,43,219027735
57.713653,10.581342,43,219029523
57.713728,10.589485,43,265581970
57.71376,10.589517,43,256791000
57.713803,10.582013,43,912190064
57.713808,10.589998,43,265002000
57.713853,10.580375,43,219000333
57.713998,10.591412,43,219022257
57.714323,10.591983,43,219013964
57.71472,10.583465,43,219005583
57.714823,10.584198,43,257052890
57.714963,10.583883,43,219024000
57.71505,10.583522,43,219013885
57.71514,10.587498,43,219013933
57.71517,10.583247,43,219001125
57.715238,10.582665,43,219005867
57.715292,10.587763,43,219032848
57.715377,10.58227,43,244710047
57.715392,10.581972,43,257101030
57.715398,10.584672,43,219026170
57.71543,10.597472,43,210056000
57.71545,10.587242,43,219028185
57.715537,10.587422,43,219028008
57.715573,10.586862,43,219014692
57.715593,10.586445,43,219013391
57.715595,10.587203,43,219033125
57.715615,10.587618,43,219011953
57.71569,10.585917,43,219007027
57.715757,10.58734,43,219022479
57.71595,10.581367,43,257571000
57.71598,10.586737,43,219020150
57.716017,10.587282,43,220333000
57.716073,10.586312,43,219012511
57.71612,10.586413,43,219007034
57.716248,10.58648,43,219022300
57.716453,10.585235,43,232043529
57.716472,10.58709,43,219010873
57.716727,10.588055,43,219011018
57.716737,10.584873,43,244583000
57.716948,10.599352,43,232009818
57.717128,10.58693,43,220012000
57.717262,10.585358,43,219031289
57.717338,10.58744,43,219002827
57.717378,10.58626,43,219006301
57.71753,10.585903,43,219007414
57.717565,10.590048,43,219015442
57.717813,10.586187,43,219005732
57.718072,10.586892,43,220343000
57.718167,10.5875,43,220339000
57.718187,10.592762,43,219001849
57.7184,10.5905,43,219801000
57.718442,10.595842,43,219030593
57.718488,10.59584,43,258637000
57.718817,10.588925,43,219026706
57.71889,10.591943,43,219001111
57.718918,10.59015,43,219027026
57.719018,10.592558,43,219019067
57.719063,10.58825,43,257102400
57.71908,10.59002,43,219022000
57.719115,10.588567,43,258572000
57.719522,10.590315,43,219028043
57.719632,10.593533,43,219017733
57.717005,10.599512,44,232009818
57.717023,10.586795,44,220333000
57.717075,10.588067,44,219011018
57.717105,10.595677,44,219022257
57.717132,10.586922,44,220012000
57.717245,10.595525,44,219007027
57.717262,10.585358,44,219031289
57.717343,10.587443,44,219002827
57.717378,10.58626,44,219006301
57.71753,10.585903,44,219007414
57.717578,10.590012,44,219015442
57.717662,10.599348,44,265019000
57.717818,10.586185,44,219005732
57.718095,10.586868,44,220343000
57.718103,10.598843,44,250512000
57.718112,10.587507,44,219013885
57.718167,10.5875,44,220339000
57.718197,10.592883,44,219001849
57.718433,10.590467,44,219801000
57.718442,10.595842,44,219030593
57.718498,10.595848,44,258637000
57.71882,10.588935,44,219026706
57.718892,10.59191,44,219001111
57.718918,10.590143,44,219027026
57.719018,10.592558,44,219019067
57.719063,10.58825,44,257102400
57.719082,10.59002,44,219022000
57.719115,10.588567,44,258572000
57.719302,10.604432,44,219022326
57.719522,10.590315,44,219028043
57.719632,10.593533,44,219017733
57.719793,10.593888,44,219032932
57.719798,10.59141,44,219013964
57.720125,10.594872,44,219031797
57.720428,10.594908,44,219000543
57.720617,10.602995,44,316100000
57.720653,10.599707,44,259859000
57.720653,10.602828,44,983161000
57.721592,10.59958,44,277354000
57.72161,10.60185,44,219017895
57.721747,10.601612,44,219005867
57.72185,10.601363,44,220307000
57.721855,10.601478,44,219023738
57.72187,10.601542,44,219007034
57.721933,10.601462,44,219012511
57.72204,10.600167,44,277029000
57.722133,10.601173,44,219001125
57.72221,10.601013,44,219948000
57.731167,11.67142,45,265826420
57.732583,11.672177,45,266145000
57.771255,11.621342,46,265549760
57.77206,11.618778,46,265530880
57.772653,11.618098,46,266388000
57.773083,11.617388,46,219015153
57.8264,9.526683,47,636020984
57.827442,9.510393,47,305530000
57.838398,10.25199,48,305775000
57.845283,10.243267,48,636020984
57.842617,10.165633,49,636020984
57.84756,10.167662,49,219001125
57.845128,10.317588,50,305775000
57.847133,10.304383,50,636020984
57.931648,11.370173,51,245073000
57.940607,11.371628,51,256992000
57.93985,11.578398,52,266145000
57.94002,11.578797,52,266461000
57.940888,11.572533,52,266425000
57.944063,11.564325,52,265762710
57.944337,11.562977,53,259196000
57.94466,11.563877,53,210189000
58.00002,10.070322,54,219007034
58.00225,10.081433,54,219013885
58.399455,12.322223,55,992651013
58.399653,12.320668,55,992651014
58.402307,12.325447,55,992651012
59.013183,10.978425,56,992576503
59.018333,10.968333,56,992576506
59.26674,11.073773,57,992576504
59.267867,11.084367,57,992576501
59.268735,11.087163,57,992576500
59.784918,10.501383,58,992576502
59.785335,10.501933,58,992576505
