latitude,longitude,port,mmsi
57.321285,11.125492,0,219009229
57.321287,11.128263,0,220279000
57.321295,11.126217,0,220046000
57.321367,11.128017,0,219006219
57.32138,11.127898,0,220323000
57.321425,11.126543,0,219006113
57.321485,11.127808,0,220341000
57.321503,11.125688,0,220349000
57.321608,11.127315,0,220072000
57.32161,11.12756,0,219001553
57.331842,10.534142,1,219032670
57.331933,10.533397,1,219029704
57.332455,10.532315,1,219000942
57.333463,10.53065,1,219028256
57.333852,10.529508,1,257048860
57.333932,10.530358,1,219004365
57.34285,11.148275,2,219000855
57.343687,11.158455,2,219006219
57.425915,10.528472,3,219028949
57.43033,10.537082,3,219000148
57.431022,10.537365,3,219000416
57.431327,10.538767,3,219000469
57.431662,10.539485,3,219000192
57.431753,10.536753,3,219158000
57.431787,10.535292,3,219007678
57.431793,10.535487,3,219007679
57.431797,10.537177,3,219000468
57.43185,10.537333,3,219000093
57.431988,10.535767,3,219002066
57.43271,10.535827,3,220436000
57.433265,10.537448,3,220189000
57.433172,10.560757,4,266212000
57.433473,10.560513,4,305530000
57.433565,10.56043,4,265012140
57.434123,10.545805,4,219592000
57.43426,10.56011,4,219111111
57.434775,10.55304,4,231872000
57.435193,10.553867,4,219019887
57.436603,10.557507,4,219111114
57.436618,10.54874,4,219159000
57.43753,10.548132,4,245613000
57.437715,10.558158,4,219000003
57.438277,10.54772,4,257981000
57.439132,10.549728,4,219001239
57.439163,10.549667,4,219005787
57.43922,10.550978,4,257755600
57.43925,10.549627,4,219002732
57.439502,10.551382,4,258349500
57.433425,10.539182,5,219123000
57.434123,10.545805,5,219592000
57.434775,10.55304,5,231872000
57.43483,10.543248,5,265177000
57.435035,10.543418,5,265410000
57.435193,10.553867,5,219019887
57.436412,10.542163,5,311001250
57.436618,10.548737,5,219159000
57.436832,10.54469,5,219304000
57.437007,10.539367,5,219000407
57.43725,10.544845,5,316003140
57.43753,10.548132,5,245613000
57.438027,10.543607,5,231887000
57.438252,10.545883,5,331983000
57.438277,10.54772,5,257981000
57.439132,10.549728,5,219001239
57.439168,10.54967,5,219005787
57.439223,10.550987,5,257755600
57.43925,10.549627,5,219002732
57.439348,10.542937,5,211749880
57.439503,10.551415,5,258349500
57.44122,10.5464,5,219031423
