latitude,longitude,port,mmsi
56.34425,4.272,0,2194005
56.3447,4.271983,0,992191515
56.34499,4.270668,0,219449000
56.355215,8.110017,1,219965000
56.35575,8.107698,1,246058000
56.3665,8.121405,2,219007456
56.367023,8.121277,2,219016966
56.367042,8.12146,2,220100000
56.367068,8.120445,2,219007234
56.368312,8.121465,2,219005901
56.368555,8.121323,2,220622000
56.368757,8.121055,2,220181000
56.368963,8.120768,2,219868000
56.370373,8.120018,2,219798000
56.371583,8.124147,2,219029700
56.403438,10.924767,3,219003826
56.404318,10.927268,3,219016759
56.404793,10.923858,3,219027290
56.405082,10.925598,3,219030504
56.405325,10.923552,3,219032300
56.408157,10.922728,3,219871000
56.40826,10.92367,3,219004242
56.408605,10.921848,3,219006598
56.408653,10.923685,3,219031740
56.408737,10.923688,3,219002661
56.408795,10.925052,3,219029706
56.408868,10.925793,3,219002731
56.40896,10.921857,3,219012639
56.409017,10.92234,3,219018865
56.409128,10.925055,3,219024784
56.40915,10.92765,3,265859000
56.409225,10.925467,3,219002769
56.409493,10.924003,3,219015233
56.40973,10.923613,3,219007835
56.409837,10.923618,3,219016873
56.410085,10.924618,3,219018044
56.410383,10.922823,3,219033041
56.411097,10.924395,3,230692000
56.411232,10.925177,3,219029904
56.412432,10.92143,4,219007362
56.413,10.923,4,244724000
56.413333,10.922667,4,244723000
56.414083,10.922725,4,219001647
56.415218,10.921782,4,219006091
56.416797,10.928585,4,305198000
56.417153,10.929143,4,257740000
56.418692,10.930548,4,548652000
56.458333,10.0435,5,305804000
56.459453,10.055895,5,250014107
56.459787,10.045917,5,219000554
56.459988,10.048817,5,244054000
56.460025,10.057997,5,636018620
56.477667,4.903833,6,219113000
56.482053,4.910555,6,219438000
56.477767,4.924433,7,219113000
56.482057,4.910572,7,219438000
56.48307,7.979908,8,219313000
56.4853,7.995497,8,219027308
56.49228,8.598803,9,219012175
56.49302,8.598607,9,219001211
56.49416,8.60212,9,219000166
56.530067,8.166947,10,2190066
56.534658,8.167802,10,9137005
56.531555,11.231367,11,246777000
56.53166,11.232547,11,219018044
56.532873,10.71428,12,219007781
56.533193,10.71147,12,219029555
56.533613,10.713782,12,219003369
56.53392,10.712015,12,219005659
56.53395,10.712867,12,220099000
56.534067,10.710677,12,220114000
56.534277,10.710795,12,219007078
56.55116,8.306072,13,219015427
56.551263,8.302872,13,220053927
56.551602,8.308723,13,219004266
56.551743,8.304698,13,219031777
56.551783,8.305275,13,219022081
56.551965,11.187672,14,246777000
56.552415,11.18688,14,219016873
56.575393,9.05179,15,219031164
56.575422,9.051542,15,219029468
56.57573,9.051423,15,219015443
56.607247,10.302222,16,219008746
56.6073,10.302655,16,219026147
56.651333,12.848033,17,219543000
56.651767,12.848853,17,219014875
56.652483,12.851717,17,265859000
56.65281,12.848457,17,355444000
56.653603,12.853503,17,265608060
56.65392,12.853812,17,992651019
56.657273,12.856892,17,374395000
56.657595,12.858837,17,246061000
56.658433,12.853588,17,636024909
56.651382,8.635965,18,219004432
56.651685,8.636248,18,219004431
56.6616,12.85636,19,219014875
56.662122,12.856693,19,231848000
56.662485,12.857273,19,265608060
56.671007,8.222077,20,211686000
56.671415,8.213257,20,219029708
56.672368,8.234283,20,219033326
56.672535,8.222753,20,219004355
56.672598,8.222663,20,219030113
56.677197,8.227413,20,245215000
56.680842,8.230303,21,249127000
56.680863,8.232678,21,244116000
56.681713,8.231297,21,211686000
56.683478,8.231795,21,219024185
56.683703,8.226542,21,219033326
56.683853,8.225862,21,219026749
56.692302,8.223822,22,219029708
56.692382,8.22215,22,259040100
56.692572,8.220293,22,219001588
